Date,PPO Agent,Equal-Weight (1/N),Nifty BeES B&H,MVO λ=0.5,MVO λ=1.0,MVO λ=2.0
2021-05-18,1.0,1.0106098202712868,1.0096221486457093,1.0119025396267711,1.0101942303175793,1.0094407195345851
2021-05-19,1.0095018720931461,1.0044020903062365,1.0052425710023158,1.004235988988825,1.0034525615396443,1.0043046324306333
2021-05-20,1.0042354801864495,0.9961736957836629,0.9987983148696874,0.998028254801762,0.9984665818764393,1.000222887160676
2021-05-21,1.0000803496638713,1.0163309549808839,1.0141895111223351,1.0241620226771886,1.0213892420520618,1.018587379365292
2021-05-24,1.0188147708514501,1.0156278471304692,1.0162540941439375,1.0265091895603875,1.0230028632844905,1.0190449195339635
2021-05-25,1.019366135500024,1.0153187858417083,1.0168797890076933,1.0301774676005875,1.0290886883200978,1.0243112064159383
2021-05-26,1.0246989340141106,1.0217531750563822,1.0226984457441988,1.042683931521411,1.0423730511937679,1.0380554148002532
2021-05-27,1.0384058226567996,1.0256125545227763,1.0268277072550367,1.0448256702046717,1.044541549114571,1.04113026205774
2021-05-28,1.041407112964662,1.0340573613758954,1.0324586746259417,1.0418611358183099,1.0406169081685859,1.0412786731280674
2021-05-31,1.041224965744654,1.047095476979701,1.0435327290668865,1.0575505799774614,1.0565744825465244,1.0531432429628003
2021-06-01,1.053421713089762,1.0441378593551602,1.0440958926313195,1.047193220814434,1.0465954820619376,1.0473281071493021
2021-06-02,1.0472686488582632,1.042756865430053,1.0466610124504003,1.043123908442661,1.0433913006689335,1.0451976513302996
2021-06-03,1.0450510522213887,1.0497896929385064,1.0521668217550275,1.049436927253758,1.0490507167921193,1.0513503122667525
2021-06-04,1.051163682710959,1.0437311555363273,1.0520416636887497,1.0418876902999346,1.0429751018620879,1.0476675085002893
2021-06-07,1.0472866846207827,1.049581336492201,1.0550448844736184,1.0468153089103371,1.0483135891159834,1.0518455995073692
2021-06-08,1.0515589503567093,1.0485118477656719,1.0546695057424182,1.048869266929346,1.0515995338147432,1.056913912591798
2021-06-09,1.0564826111814332,1.0430244473391805,1.048538001574035,1.0447821712899512,1.0470510543828024,1.0531561025630565
2021-06-10,1.0526606325365573,1.049177474586284,1.0548571951080186,1.0509010357757866,1.0538030287997207,1.0597954651604398
2021-06-11,1.059309134415742,1.055141655326428,1.0594244621170121,1.0555711169449578,1.0585699867947493,1.0669815471181587
2021-06-14,1.066298886659873,1.0570797354649646,1.060863445742492,1.0593521883708628,1.06303071503754,1.0719063670890165
2021-06-15,1.0711860422145132,1.0631803383199918,1.0653056501528402,1.0707518610392697,1.0740952632187541,1.0806093060434083
2021-06-16,1.0800806432338617,1.0600292115163106,1.0616768299718475,1.0686980209098687,1.0718125104526972,1.0796915728746428
2021-06-17,1.0789215962888947,1.0605006602865876,1.0560458626009426,1.0684366269122132,1.070234999921657,1.080244830123869
2021-06-18,1.0787655015953506,1.0647744162090877,1.0552951051385417,1.0684923634953567,1.0706845601971477,1.0813321390991704
2021-06-21,1.0800065967300314,1.0681020400078223,1.0577977891259323,1.0679989476063818,1.0708805232344645,1.0814271432822091
2021-06-22,1.080350632802697,1.0668939479396704,1.05992499891449,1.0719829658404976,1.074409891904625,1.085886913592239
2021-06-23,1.084536646888213,1.0595263327287565,1.0553576364378638,1.0638990654786402,1.066858472727807,1.079323817886511
2021-06-24,1.078011384947607,1.0712700336332612,1.061614203204892,1.0896541590133604,1.0906827654249978,1.1021701535859418
2021-06-25,1.1006730218348817,1.071925332901925,1.066118938914563,1.1046942261802377,1.1059166721588032,1.1126224845057093
2021-06-28,1.1121344128752746,1.068557018685141,1.0626779035668033,1.103443824691442,1.1053887994656184,1.11038039748906
2021-06-29,1.1105344803389152,1.0653090201673296,1.0594244621170115,1.0937839097816313,1.0953912715794742,1.1037139556102162
2021-06-30,1.103096173611047,1.0648555735563736,1.0581731678571324,1.092773333264958,1.0941879154020184,1.1059171373942718
2021-07-01,1.1048209623183205,1.0620616491894723,1.0568592468302982,1.0865448878089403,1.0879433337447262,1.0993396486624527
2021-07-02,1.0981037940868164,1.0660523308982717,1.0594869934163342,1.0949390422188745,1.0968884418409823,1.1049981664521433
2021-07-05,1.1046147819540788,1.0735049037586084,1.0644297346241605,1.103790854172786,1.106194927115579,1.11232887217455
2021-07-06,1.1125301437626485,1.0724993442140405,1.0646799552890835,1.0993156674031208,1.1029942824045016,1.10752808342377
2021-07-07,1.108387790137442,1.0747703165415585,1.0664944131133962,1.102985792543877,1.106522977521918,1.1101378692222696
2021-07-08,1.1110943572476975,1.0636436715449091,1.0603003776456905,1.0926484077965073,1.0960960282136516,1.102954278719589
2021-07-09,1.1033573779222383,1.0571657764843145,1.057797789125932,1.089624681646603,1.0939878164033305,1.1010663344813445
2021-07-12,1.1018895461750997,1.056664037504128,1.057610004292699,1.0900110850557667,1.0946894426479266,1.0985394892099951
2021-07-13,1.0999128727231673,1.0638875511255064,1.0646799552890833,1.1024093640862198,1.1077195303997995,1.105677511644698
2021-07-14,1.1082214432608837,1.065890185876307,1.0673703286420744,1.112239112663256,1.1171755970250934,1.1162798085308556
2021-07-15,1.1187497523611085,1.0688359991582512,1.0716247482191898,1.1161093345035016,1.1211990156960892,1.1200547989709457
2021-07-16,1.1226410413394494,1.067325941179909,1.072438132448546,1.1043406693049629,1.1099633901263424,1.1120050935802608
2021-07-19,1.1127790964969224,1.0556371256942794,1.0621773667693248,1.095377940042668,1.1009291103675818,1.1028140426299446
2021-07-20,1.103140102059949,1.0505635323228124,1.0544817209091846,1.0867560236498714,1.0918329592453957,1.0913740008106054
2021-07-22,1.0978737064502313,1.0580600738289339,1.0658687182496396,1.1098616629868314,1.1145279066266849,1.1112535878600815
2021-07-23,1.1193038560701474,1.0608585036154359,1.0671826392764738,1.1240657643674508,1.1288334462708447,1.125742906179956
2021-07-26,1.1270515182969312,1.059408062078518,1.0653681814521614,1.127548666096446,1.1319759661342212,1.1269546039990537
2021-07-27,1.130474140990484,1.0538278542949373,1.0616142032048914,1.1268543293476638,1.1311858658697744,1.125664300912754
2021-07-28,1.1288651420343605,1.0504495573949229,1.0594869934163336,1.1323599979344738,1.136579671645201,1.1303115092622664
2021-07-29,1.1316060702122341,1.0514771434787593,1.063303502962926,1.1393592907692156,1.1434833601738381,1.1365181756395693
2021-07-30,1.1380788747893076,1.049046201111941,1.0616768299718464,1.133829298699037,1.1380188484942515,1.1315499753811533
2021-08-02,1.133744070331597,1.0565799765050636,1.0698729171618324,1.1407362610209233,1.1447595961061852,1.1372140992018556
2021-08-03,1.1429017480329777,1.0714749654527727,1.0840753504539233,1.1564105903527957,1.1604457688023033,1.1525616025256669
2021-08-04,1.1586626154410202,1.0845921444783024,1.0928345057407098,1.1728415433407176,1.177367907059097,1.1717186806850823
2021-08-05,1.1686397449331845,1.0875528665391296,1.0957125684593012,1.1664617861278264,1.1709582894944148,1.1653114531839026
2021-08-06,1.166814235064404,1.0861425248308358,1.0939607374019438,1.1619284970183317,1.166421362670597,1.1608713266396886
