Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,NIFTYBEES.NS,HINDUNILVR.NS,KOTAKBANK.NS
2021-01-01,901.1946411132816,2569.2680664062595,674.886352539062,1109.5994873046848,510.1914062500027,125.11952933307056,2195.603759765624,397.150817871094
2021-01-04,902.7136230468756,2666.83544921876,670.6004028320309,1134.0727539062473,514.2536621093777,126.0731709730259,2231.422607421874,391.4745178222659
2021-01-05,891.4912109375005,2713.820556640635,675.6676635742184,1138.9583740234343,519.6215209960965,126.56671954887835,2253.539306640624,390.3193359375003
2021-01-06,867.9807128906255,2677.40869140626,672.7551879882809,1128.6584472656225,528.7614135742216,126.49979576097182,2222.962402343749,392.4404602050784
2021-01-07,866.5751342773442,2661.000732421885,670.7187499999997,1111.0963134765598,523.3452148437527,126.48306162289332,2178.4079589843745,388.85546875000034
2021-01-08,876.7999877929692,2738.300048828135,678.012023925781,1155.0681152343725,524.263977050784,127.888435640116,2198.960449218749,392.5002136230472
2021-01-11,860.2723999023441,2787.0397949218855,687.3890380859373,1211.4969482421843,526.8270874023465,129.1432279434471,2233.813720703124,386.0173034667971
2021-01-12,887.3876342773441,2785.6364746093855,701.3835449218748,1207.579345703122,530.0187988281278,129.92956649583974,2184.890624999999,379.1062011718753
2021-01-13,879.1125488281255,2771.6855468750105,696.4819946289059,1221.1363525390595,538.2398681640655,130.16379337130897,2181.625976562499,374.8539733886721
2021-01-14,888.9973754882817,2857.6157226562605,695.582092285156,1206.479003906247,535.1448974609405,130.29762818271467,2205.719726562499,376.95513916015653
2021-01-15,878.5004272460942,2842.3635253906355,694.5875244140623,1183.9869384765595,525.1829223632841,128.9173617548134,2162.1298828124995,371.2290649414065
2021-01-18,899.5850219726568,2832.1662597656355,702.3780517578122,1155.024414062497,515.656066894534,127.62074048848982,2145.071533203124,367.8532104492189
2021-01-19,914.2988281250008,2866.406005859386,712.2049560546872,1159.0738525390595,528.5197143554716,130.03830648233145,2173.1657714843745,375.8298645019533
2021-01-20,931.6652221679695,2908.690185546886,706.5930175781247,1179.145019531247,532.9203491210967,131.12579569809986,2166.5444335937495,375.1527404785158
2021-01-21,951.9335327148444,2877.966064453136,698.4473266601558,1179.3651123046843,534.5645141601592,130.5151336845128,2177.3034667968745,370.01416015625017
2021-01-22,929.3527221679694,2903.678955078136,683.6476440429683,1180.3775634765595,516.2847290039091,128.75005866725076,2215.6513671874995,364.07897949218767
2021-01-25,880.1101074218757,2893.3056640625105,692.7879028320307,1166.5125732421843,520.3952026367216,127.53709532691217,2206.6853027343745,357.38693237304705
2021-01-27,859.2521972656256,2866.714111328136,667.5693359374994,1145.2967529296843,505.21038818359654,125.04423209392104,2199.0522460937495,351.47161865234386
2021-01-28,850.8864746093756,2810.0134277343855,649.5020141601558,1123.4648437499973,510.9168701171903,123.7978132418329,2115.4602050781245,343.13650512695324
2021-01-29,835.1978149414068,2735.116455078135,658.5238647460933,1090.7609863281225,519.3797607421903,122.216775450212,2081.8942871093745,341.16473388671886
2021-02-01,859.3883666992193,2759.73046875001,699.3707885742182,1109.996093749997,583.9877929687532,127.58728497674022,2067.8249511718745,358.80105590820324
2021-02-02,873.2179565429692,2816.0798339843855,739.0574951171869,1119.1072998046843,597.093200683597,130.58205747241934,2051.134033203125,370.7112731933595
2021-02-03,875.417114257813,2813.0903320312605,745.8061523437493,1130.903564453122,601.9291381835972,131.8870394255785,2053.34130859375,368.8988037109376
2021-02-04,872.5377807617192,2802.893310546885,747.8425292968743,1126.237792968747,607.6838989257847,132.7486624527133,2065.0656738281245,380.4904174804688
2021-02-05,872.2883911132818,2776.081787109385,756.6038818359368,1119.8553466796843,593.9982910156283,133.04981311608904,2087.0905761718745,394.89022827148455
