Date,INDIAVIX,CRUDE_OIL,USDINR
2022-07-19,17.200000762939453,104.22000122070312,80.0302963256836
2022-07-20,16.81999969482422,102.26000213623047,79.85590362548828
2022-07-21,16.860000610351562,96.3499984741211,80.00340270996094
2022-07-22,16.649999618530273,94.69999694824219,79.7759017944336
2022-07-25,17.68000030517578,96.69999694824219,79.87680053710938
2022-07-26,18.170000076293945,94.9800033569336,79.72250366210938
2022-07-27,18.1299991607666,97.26000213623047,79.84120178222656
2022-07-28,17.010000228881836,96.41999816894531,79.84739685058594
2022-07-29,16.549999237060547,98.62000274658203,79.57150268554688
2022-08-01,17.489999771118164,93.88999938964844,79.1948013305664
2022-08-02,18.530000686645508,94.41999816894531,78.95570373535156
2022-08-03,18.450000762939453,90.66000366210938,78.60449981689453
2022-08-04,19.260000228881836,88.54000091552734,79.11830139160156
2022-08-05,18.920000076293945,89.01000213623047,79.15489959716797
2022-08-08,19.299999237060547,90.76000213623047,79.41059875488281
2022-08-09,,90.5,79.60189819335938
2022-08-10,19.59000015258789,91.93000030517578,79.57839965820312
2022-08-11,18.360000610351562,94.33999633789062,79.0978012084961
2022-08-12,17.610000610351562,92.08999633789062,79.61399841308594
2022-08-15,,89.41000366210938,79.62760162353516
2022-08-16,17.68000030517578,86.52999877929688,79.55290222167969
2022-08-17,17.68000030517578,88.11000061035156,79.14600372314453
2022-08-18,17.350000381469727,90.5,79.35970306396484
2022-08-19,18.290000915527344,90.7699966430664,79.7667007446289
2022-08-22,19.040000915527344,90.2300033569336,79.91790008544922
2022-08-23,19.049999237060547,93.73999786376953,79.88379669189453
2022-08-24,18.43000030517578,94.88999938964844,79.85449981689453
2022-08-25,19.56999969482422,92.5199966430664,79.79679870605469
2022-08-26,18.219999313354492,93.05999755859375,79.88289642333984
2022-08-29,19.81999969482422,97.01000213623047,79.95909881591797
2022-08-30,18.700000762939453,91.63999938964844,79.96790313720703
2022-08-31,,89.55000305175781,79.68229675292969
2022-09-01,19.8700008392334,86.61000061035156,79.54879760742188
2022-09-02,19.549999237060547,86.87000274658203,79.716796875
2022-09-05,19.65999984741211,,79.72450256347656
2022-09-06,19.520000457763672,86.87999725341797,79.78299713134766
2022-09-07,19.3700008392334,81.94000244140625,79.89510345458984
2022-09-08,18.309999465942383,83.54000091552734,79.6498031616211
2022-09-09,17.719999313354492,86.79000091552734,79.706298828125
2022-09-12,17.940000534057617,87.77999877929688,79.65579986572266
2022-09-13,17.469999313354492,87.30999755859375,79.35530090332031
2022-09-14,18.280000686645508,88.4800033569336,79.60240173339844
2022-09-15,18.389999389648438,85.0999984741211,79.45369720458984
2022-09-16,19.81999969482422,85.11000061035156,79.8490982055664
2022-09-19,19.940000534057617,85.7300033569336,79.68949890136719
2022-09-20,18.799999237060547,84.44999694824219,79.7074966430664
2022-09-21,19.329999923706055,82.94000244140625,79.76270294189453
2022-09-22,18.81999969482422,83.48999786376953,80.05069732666016
2022-09-23,20.59000015258789,78.73999786376953,81.06220245361328
2022-09-26,21.889999389648438,76.70999908447266,81.25479888916016
2022-09-27,21.56999969482422,78.5,81.61579895019531
2022-09-28,22.100000381469727,82.1500015258789,81.72460174560547
2022-09-29,21.299999237060547,81.2300033569336,81.42870330810547
2022-09-30,19.969999313354492,79.48999786376953,81.48059844970703
2022-10-03,21.3700008392334,83.62999725341797,81.52130126953125
2022-10-04,19.56999969482422,86.5199966430664,81.49500274658203
2022-10-05,,87.76000213623047,81.46549987792969
2022-10-06,19.31999969482422,88.44999694824219,81.6488037109375
2022-10-07,18.809999465942383,92.63999938964844,82.3489990234375
2022-10-10,19.6200008392334,91.12999725341797,82.8322982788086
2022-10-11,20.489999771118164,89.3499984741211,82.42070007324219
2022-10-12,20.18000030517578,87.2699966430664,82.2739028930664
2022-10-13,20.290000915527344,89.11000061035156,82.19999694824219
2022-10-14,18.260000228881836,85.61000061035156,82.19210052490234
2022-10-17,18.420000076293945,85.45999908447266,82.41280364990234
2022-10-18,17.450000762939453,82.81999969482422,82.1947021484375
2022-10-19,17.489999771118164,85.55000305175781,82.2863998413086
2022-10-20,17.229999542236328,85.9800033569336,82.99700164794922
2022-10-21,17.280000686645508,85.05000305175781,82.82569885253906
2022-10-24,17.420000076293945,84.58000183105469,82.54129791259766
2022-10-25,16.8799991607666,85.31999969482422,82.7614974975586
2022-10-26,,87.91000366210938,82.44529724121094
2022-10-27,16.600000381469727,89.08000183105469,82.04959869384766
2022-10-28,15.920000076293945,87.9000015258789,82.44249725341797
2022-10-31,15.800000190734863,86.52999877929688,82.23919677734375
2022-11-01,16.1299991607666,88.37000274658203,82.72899627685547
2022-11-02,16.65999984741211,90.0,82.68450164794922
2022-11-03,15.9399995803833,88.16999816894531,82.88839721679688
2022-11-04,15.65999984741211,92.61000061035156,82.68180084228516
2022-11-07,15.59000015258789,91.79000091552734,81.9749984741211
2022-11-08,,88.91000366210938,81.82599639892578
2022-11-09,15.920000076293945,85.83000183105469,81.40519714355469
2022-11-10,15.569999694824219,86.47000122070312,81.34380340576172
2022-11-11,14.40999984741211,88.95999908447266,80.48290252685547
2022-11-14,14.90999984741211,85.87000274658203,80.49700164794922
2022-11-15,14.640000343322754,86.91999816894531,80.99199676513672
2022-11-16,15.100000381469727,85.58999633789062,81.07140350341797
2022-11-17,14.880000114440918,81.63999938964844,81.49530029296875
2022-11-18,14.390000343322754,80.08000183105469,81.52490234375
2022-11-21,14.800000190734863,79.7300033569336,81.5198974609375
2022-11-22,13.84000015258789,80.94999694824219,81.72769927978516
2022-11-23,14.039999961853027,77.94000244140625,81.71499633789062
2022-11-24,13.479999542236328,,81.63289642333984
2022-11-25,13.329999923706055,76.27999877929688,81.65540313720703
2022-11-28,13.569999694824219,77.23999786376953,81.6697006225586
2022-11-29,13.619999885559082,78.19999694824219,81.65029907226562
2022-11-30,13.8100004196167,80.55000305175781,81.63089752197266
