Date,INDIAVIX,CRUDE_OIL,USDINR
2014-01-01,15.579999923706055,,61.803001403808594
2014-01-02,16.549999237060547,95.44000244140625,61.84000015258789
2014-01-03,15.869999885559082,93.95999908447266,62.060001373291016
2014-01-06,16.5,93.43000030517578,62.22999954223633
2014-01-07,16.31999969482422,93.66999816894531,62.310001373291016
2014-01-08,16.31999969482422,92.33000183105469,62.08000183105469
2014-01-09,16.18000030517578,91.66000366210938,62.119998931884766
2014-01-10,15.579999923706055,92.72000122070312,61.779998779296875
2014-01-13,15.949999809265137,91.80000305175781,61.439998626708984
2014-01-14,15.739999771118164,92.58999633789062,61.470001220703125
2014-01-15,15.420000076293945,94.16999816894531,61.470001220703125
2014-01-16,15.539999961853027,93.95999908447266,61.540000915527344
2014-01-17,15.40999984741211,94.37000274658203,61.41999816894531
2014-01-20,15.350000381469727,,61.54999923706055
2014-01-21,15.550000190734863,94.98999786376953,61.61800003051758
2014-01-22,15.850000381469727,96.7300033569336,61.970001220703125
2014-01-23,15.579999923706055,97.31999969482422,61.869998931884766
2014-01-24,15.829999923706055,96.63999938964844,62.130001068115234
2014-01-27,18.670000076293945,95.72000122070312,62.72999954223633
2014-01-28,17.719999313354492,97.41000366210938,63.380001068115234
2014-01-29,18.040000915527344,97.36000061035156,62.380001068115234
2014-01-30,17.25,98.2300033569336,62.46799850463867
2014-01-31,16.81999969482422,97.48999786376953,62.310001373291016
2014-02-03,18.270000457763672,96.43000030517578,62.5
2014-02-04,18.690000534057617,97.19000244140625,62.869998931884766
2014-02-05,18.93000030517578,97.37999725341797,62.130001068115234
2014-02-06,18.940000534057617,97.83999633789062,62.22999954223633
2014-02-07,18.549999237060547,99.87999725341797,62.22999954223633
2014-02-10,19.049999237060547,100.05999755859375,62.09000015258789
2014-02-11,18.6299991607666,99.94000244140625,62.448001861572266
2014-02-12,17.43000030517578,100.37000274658203,62.029998779296875
2014-02-13,17.799999237060547,100.3499984741211,61.68000030517578
2014-02-14,16.65999984741211,100.30000305175781,62.150001525878906
2014-02-17,15.829999923706055,,61.83000183105469
2014-02-18,15.40999984741211,102.43000030517578,61.790000915527344
2014-02-19,15.069999694824219,103.30999755859375,62.209999084472656
2014-02-20,15.15999984741211,102.91999816894531,62.2599983215332
2014-02-21,14.039999961853027,102.19999694824219,62.130001068115234
2014-02-24,14.359999656677246,102.81999969482422,62.0099983215332
2014-02-25,13.949999809265137,101.83000183105469,62.06800079345703
2014-02-26,13.960000038146973,102.58999633789062,61.97800064086914
2014-02-27,,102.4000015258789,62.150001525878906
2014-02-28,14.180000305175781,102.58999633789062,62.02000045776367
2014-03-03,15.279999732971191,104.91999816894531,61.81999969482422
2014-03-04,14.390000343322754,103.33000183105469,62.16999816894531
2014-03-05,13.84000015258789,101.44999694824219,61.599998474121094
2014-03-06,14.479999542236328,101.55999755859375,61.74800109863281
2014-03-07,16.719999313354492,102.58000183105469,60.79999923706055
2014-03-10,17.780000686645508,101.12000274658203,61.22999954223633
2014-03-11,17.329999923706055,100.02999877929688,60.810001373291016
2014-03-12,17.040000915527344,97.98999786376953,61.040000915527344
2014-03-13,16.81999969482422,98.19999694824219,60.77000045776367
2014-03-14,16.450000762939453,98.88999938964844,61.459999084472656
2014-03-17,,98.08000183105469,60.97999954223633
2014-03-18,17.1299991607666,99.69999694824219,61.040000915527344
2014-03-19,16.8799991607666,100.37000274658203,61.108001708984375
2014-03-20,16.90999984741211,99.43000030517578,60.95000076293945
2014-03-21,16.18000030517578,99.45999908447266,61.33300018310547
2014-03-24,16.540000915527344,99.5999984741211,61.02000045776367
2014-03-25,16.920000076293945,99.19000244140625,60.59000015258789
2014-03-26,17.770000457763672,100.26000213623047,60.220001220703125
2014-03-27,18.3700008392334,101.27999877929688,60.15999984741211
2014-03-28,18.6299991607666,101.66999816894531,60.237998962402344
2014-03-31,21.6200008392334,101.58000183105469,59.84000015258789
2014-04-01,20.690000534057617,99.73999786376953,59.9900016784668
2014-04-02,21.209999084472656,99.62000274658203,59.779998779296875
2014-04-03,22.110000610351562,100.29000091552734,59.89799880981445
2014-04-04,22.690000534057617,101.13999938964844,60.38999938964844
2014-04-07,24.950000762939453,100.44000244140625,59.66999816894531
2014-04-08,,102.55999755859375,60.119998931884766
2014-04-09,26.90999984741211,103.5999984741211,60.09000015258789
2014-04-10,28.719999313354492,103.4000015258789,59.959999084472656
2014-04-11,29.190000534057617,103.73999786376953,60.29999923706055
2014-04-14,,104.05000305175781,60.34000015258789
2014-04-15,31.8799991607666,103.75,60.34000015258789
2014-04-16,31.15999984741211,103.76000213623047,60.29999923706055
2014-04-17,30.850000381469727,104.30000305175781,60.25
2014-04-18,,,60.290000915527344
2014-04-21,34.38999938964844,104.37000274658203,60.150001525878906
2014-04-22,33.349998474121094,102.12999725341797,60.47999954223633
2014-04-23,31.1299991607666,101.44000244140625,60.757999420166016
2014-04-24,,101.94000244140625,61.0099983215332
2014-04-25,30.68000030517578,100.5999984741211,61.119998931884766
2014-04-28,31.389999389648438,100.83999633789062,60.63800048828125
2014-04-29,31.049999237060547,101.27999877929688,60.643001556396484
2014-04-30,30.59000015258789,99.73999786376953,60.417999267578125
2014-05-01,,99.41999816894531,60.119998931884766
2014-05-02,33.060001373291016,99.76000213623047,60.13999938964844
2014-05-05,34.189998626708984,99.4800033569336,60.02000045776367
2014-05-06,33.27000045776367,99.5,60.11000061035156
2014-05-07,33.61000061035156,100.7699966430664,59.97800064086914
2014-05-08,34.29999923706055,100.26000213623047,59.88999938964844
2014-05-09,37.709999084472656,99.98999786376953,59.93000030517578
2014-05-12,37.099998474121094,100.58999633789062,59.849998474121094
2014-05-13,32.04999923706055,101.69999694824219,59.41999816894531
2014-05-14,32.41999816894531,102.37000274658203,59.310001373291016
2014-05-15,36.77000045776367,101.5,59.400001525878906
2014-05-16,24.290000915527344,102.0199966430664,59.33000183105469
2014-05-19,20.6299991607666,102.61000061035156,58.560001373291016
2014-05-20,19.229999542236328,102.44000244140625,58.36800003051758
2014-05-21,17.90999984741211,104.06999969482422,58.58300018310547
2014-05-22,17.84000015258789,103.73999786376953,58.6879997253418
2014-05-23,17.700000762939453,104.3499984741211,58.27799987792969
2014-05-26,19.84000015258789,,58.41999816894531
2014-05-27,19.100000381469727,104.11000061035156,58.650001525878906
2014-05-28,17.559999465942383,102.72000122070312,59.03799819946289
2014-05-29,16.690000534057617,103.58000183105469,58.83000183105469
2014-05-30,16.34000015258789,102.70999908447266,58.900001525878906
2014-06-02,16.5,102.47000122070312,59.1879997253418
2014-06-03,15.800000190734863,102.66000366210938,59.15999984741211
2014-06-04,15.569999694824219,102.63999938964844,59.29999923706055
2014-06-05,15.449999809265137,102.4800033569336,59.2599983215332
